"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-909.406277557609,5009.98863372315,-0.181518630887948,0.856593386658001
"Coronary.artery.disease.",-4125.80781635884,2205.26462946574,-1.87089012412918,0.0664078718317277
"Valve.disease.",-959.950005971719,1658.30717847102,-0.578873455071699,0.564915946097544
"Heart.failure.",-1560.64682511646,3212.20833262232,-0.485848570052869,0.628905034405513
"Sex.assigned.at.birth",-14.265930349746,1532.08047553745,-0.00931147585099381,0.992602579056769
"Age.at.enrollment",89.5922050200478,65.4444175605195,1.36898162379087,0.176283559863801
"BMI",138.450250120429,118.81993436165,1.16521062618189,0.248703615171594
"Smoking",-1177.35131867979,1606.7660640412,-0.732745945429426,0.466664483462635
"Diabetes",2640.2152961795,2099.59256496202,1.25748935304849,0.213616276319785
"History.of.cancer",-4866.46106408914,2765.00307404191,-1.76002012792532,0.0836771188847785
"Hypertension",-669.898915450645,1936.17236307098,-0.345991363283438,0.730601133907697
"Peripheral.vascular.disease",2176.19251102141,3502.82493535798,0.621267848431316,0.536857574808477
"Hyperlipidemia",1073.51277583393,1944.32528978974,0.552126118747356,0.582983329341107
"Stroke",6637.95517419981,3374.78725409263,1.96692551986793,0.0539819251895093
"Hypothyroidism",-1685.01597173758,3438.01938902047,-0.490112410976735,0.625903267794661
"Autoimmune.disease",2665.53404598038,3118.07820316114,0.854864397973737,0.396143692213248
"History.of.thrombosis.pulmonary.embolism",-214.319572028955,3844.3257077414,-0.0557495873977002,0.955732901169401
